order_id,user_id,product_id,quantity,order_date
O001,U003,P007,1,2024-11-02
O002,U001,P002,2,2024-11-05
O003,U010,P009,1,2024-11-06
O004,U004,P011,3,2024-11-08
O005,U008,P018,1,2024-11-10
O006,U013,P006,2,2024-11-12
O007,U002,P001,1,2024-11-14
O008,U015,P015,1,2024-11-15
O009,U006,P003,2,2024-11-18
O010,U012,P008,1,2024-11-19
O011,U018,P020,1,2024-11-21
O012,U005,P010,1,2024-11-22
O013,U009,P016,2,2024-11-24
O014,U017,P013,1,2024-11-25
O015,U011,P014,1,2024-11-26
O016,U014,P004,1,2024-11-28
O017,U007,P005,3,2024-11-29
O018,U016,P012,1,2024-11-30
O019,U020,P019,2,2024-12-01
O020,U019,P017,1,2024-12-02

